,SCA,SCA Types,GCA,GCA Types,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90
24,24.0,581,24.21,436,52,28,40,17,8,83,3.46,60,9,2,8,3,1
25,24.0,526,21.92,363,55,31,43,23,11,61,2.54,49,3,2,3,3,1
28,24.0,676,28.17,518,46,30,39,25,18,71,2.96,46,5,4,5,10,1
27,24.0,497,20.71,373,41,28,23,23,9,75,3.12,55,6,4,3,6,1
30,24.0,587,24.46,432,42,37,32,37,7,59,2.46,46,2,4,3,3,1
27,24.0,696,29.00,530,38,41,45,26,16,81,3.38,56,3,8,7,5,2
26,24.0,549,22.87,395,49,20,45,32,8,50,2.08,31,6,3,6,4,0
24,23.0,444,19.30,329,40,27,17,22,9,35,1.52,22,2,4,1,3,3
25,24.0,607,25.29,460,47,28,41,18,13,65,2.71,50,3,3,2,4,3
31,24.0,397,16.54,274,47,32,15,21,8,32,1.33,23,2,3,2,2,0
28,24.0,389,16.21,283,35,29,19,20,3,44,1.83,30,3,5,3,3,0
24,23.0,731,31.78,563,42,51,46,16,13,99,4.30,82,2,6,5,4,0
26,24.0,733,30.54,586,43,45,35,18,6,80,3.33,59,2,8,8,1,2
25,24.0,570,23.75,437,46,25,29,23,10,45,1.87,29,3,3,3,3,4
24,24.0,609,25.37,465,45,29,28,28,14,74,3.08,62,4,3,1,3,1
23,24.0,531,22.12,369,53,28,44,25,12,64,2.67,40,7,3,5,6,3
33,24.0,420,17.50,298,35,32,32,17,6,29,1.21,17,2,3,6,0,1
29,24.0,606,25.25,456,40,42,40,21,7,78,3.25,60,5,7,4,1,1
26,24.0,563,23.46,393,50,37,48,23,12,40,1.67,21,4,2,10,3,0
26,24.0,442,18.42,330,32,32,20,15,13,60,2.50,50,2,4,1,0,3
