Rank,Squad,MP,W,L,D,Goals Scored,Conceded,GD,Points,Top Team Scorer
1,Liverpool,23,17,1,5,56,21.4,35,56,Mohamed Salah - 21
2,Arsenal,24,14,2,8,49,22.7,27,50,Kai Havertz - 9
3,Notingham Forest,24,14,5,5,40,27.4,13,47,Chris Wood - 17
4,Chelsea,24,12,5,7,47,31.4,16,43,Cole Palmer - 14
5,Manchester City,24,12,7,5,48,35.4,13,41,Edring Hasland - 19
6,Newcastle United,24,12,7,5,42,29.4,13,41,Alexander Isak - 17
7,Bournemouth,24,11,6,7,41,28.4,13,40,Justin Kluivert - 11
8,Aston Villa,24,10,7,7,34,37.4,3,37,Ollie Watkins - 10
9,Fulham,24,9,6,9,36,32.4,4,36,Radl Jiménez - 9
10,Brighton & Hove Albion,24,8,6,10,35,38.4,3,34,Danny Welbeck - 6
11,Brentford,24,9,11,4,42,42,3,31,Bryan Mbeumo - 14
12,Crystal Palace,24,7,8,9,28,30.4,2,30,Jean-Philippe Mateta - 10
13,Manchester United,24,8,11,5,28,34.4,6,29,Amad Diallo - 6
14,Tottenham Hotspur,24,8,13,3,48,37.4,11,27,James Maddison - 8
15,West Ham United,24,7,11,6,29,46.4,17,27,Jarrod Bowen - 6
16,Everton,23,6,9,8,23,28,5,26,Jilman Ndiave - 6
17,Wolverhampton Wanderers,24,5,15,4,34,52.4,18,19,Matheus Cunha - 11
18,Leicester City,24,4,15,5,25,53.4,28,17,Jamie Vardy - 7
19,Ipswich Town,24,3,14,7,22,49.4,27,16,Liam Delap - 9
20,Southampton,24,2,19,3,18,54.4,36,9,Joe Anbo - 3
