,Home,Away,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Liverpool,11,8,2,1,24,9,+15,26,2.36,23.2,9.2,+14.0,+1.27,12,9,3,0,32,12,+20,30,2.50,30.7,11.6,+19.1,+1.59,,,
2,Arsenal,12,8,4,0,27,10,+17,28,2.33,21.5,7.4,+14.2,+1.18,12,6,4,2,22,12,+10,22,1.83,17.1,13.8,+3.3,+0.27,,,
3,Nott'ham Forest,12,7,3,2,22,10,+12,24,2.00,17.4,11.6,+5.7,+0.48,12,7,2,3,18,17,+1,23,1.92,14.4,15.1,-0.7,-0.06,,,
4,Chelsea,12,6,4,2,22,15,+7,22,1.83,25.0,14.4,+10.6,+0.88,12,6,3,3,25,16,+9,21,1.75,23.6,19.8,+3.8,+0.32,,,
5,Manchester City,11,7,2,2,24,15,+9,23,2.09,23.7,14.2,+9.5,+0.87,13,5,3,5,24,20,+4,18,1.38,20.5,20.0,+0.5,+0.04,,,
6,Newcastle Utd,12,6,2,4,20,14,+6,20,1.67,19.9,14.6,+5.3,+0.44,12,6,3,3,22,15,+7,21,1.75,21.3,14.8,+6.5,+0.55,,,
7,Bournemouth,12,6,3,3,17,9,+8,21,1.75,22.7,13.7,+9.0,+0.75,12,5,4,3,24,19,+5,19,1.58,22.9,17.5,+5.4,+0.45,,,
8,Aston Villa,12,6,5,1,20,14,+6,23,1.92,20.7,9.5,+11.2,+0.93,12,4,2,6,14,23,-9,14,1.17,13.5,20.3,-6.8,-0.56,,,
9,Fulham,12,4,5,3,18,18,0,17,1.42,15.7,13.7,+2.0,+0.17,12,5,4,3,18,14,+4,19,1.58,18.2,13.8,+4.3,+0.36,,,
10,Brighton,11,3,6,2,14,14,0,15,1.36,16.2,13.9,+2.3,+0.21,13,5,4,4,21,24,-3,19,1.46,16.1,22.4,-6.3,-0.48,,,
11,Brentford,13,7,2,4,29,25,+4,23,1.77,24.4,20.2,+4.2,+0.32,11,2,2,7,13,17,-4,8,0.73,14.1,19.3,-5.1,-0.47,,,
12,Crystal Palace,12,2,5,5,11,19,-8,11,0.92,16.5,15.4,+1.1,+0.09,12,5,4,3,17,11,+6,19,1.58,17.2,17.0,+0.2,+0.02,,,
13,Manchester Utd,13,5,1,7,17,22,-5,16,1.23,20.5,20.1,+0.3,+0.03,11,3,4,4,11,12,-1,13,1.18,13.4,16.3,-3.0,-0.27,,,
14,Tottenham,12,4,2,6,27,23,+4,14,1.17,21.5,21.3,+0.2,+0.02,12,4,1,7,21,14,+7,13,1.08,18.2,19.2,-1.1,-0.09,,,
15,West Ham,12,4,2,6,16,26,-10,14,1.17,16.4,23.3,-6.9,-0.58,12,3,4,5,13,20,-7,13,1.08,15.5,18.3,-2.7,-0.23,,,
16,Everton,12,4,4,4,16,13,+3,16,1.33,14.1,15.2,-1.0,-0.09,11,2,4,5,7,15,-8,10,0.91,10.2,14.8,-4.6,-0.42,,,
17,Wolves,12,3,1,8,16,24,-8,10,0.83,13.8,18.7,-4.9,-0.41,12,2,3,7,18,28,-10,9,0.75,11.9,20.7,-8.8,-0.73,,,
18,Leicester City,12,2,3,7,11,21,-10,9,0.75,12.2,21.0,-8.8,-0.73,12,2,2,8,14,32,-18,8,0.67,11.2,25.7,-14.4,-1.20,,,
19,Ipswich Town,13,1,4,8,9,26,-17,7,0.54,12.6,22.4,-9.7,-0.75,11,2,3,6,13,23,-10,9,0.82,9.7,25.5,-15.9,-1.44,,,
20,Southampton,11,1,1,9,8,30,-22,4,0.36,12.7,30.8,-18.1,-1.65,13,1,2,10,10,24,-14,5,0.38,11.0,25.1,-14.1,-1.09,,,
