,Tackles,Challenges,Blocks,,Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Arsenal,24,24.0,458,281,273,139,46,206,405,50.9,199,245,96,149,157,615,616,19,,,,,
vs Aston Villa,25,24.0,436,247,205,168,63,190,394,48.2,204,270,92,178,234,670,500,17,,,,,
vs Bournemouth,28,24.0,429,254,212,175,42,197,385,51.2,188,259,102,157,172,601,591,33,,,,,
vs Brentford,27,24.0,384,231,164,148,72,183,345,53.0,162,231,64,167,194,578,620,20,,,,,
vs Brighton,30,24.0,485,279,247,178,60,262,486,53.9,224,276,107,169,208,693,562,21,,,,,
vs Chelsea,27,24.0,413,230,207,162,44,223,437,51.0,214,290,117,173,195,608,523,25,,,,,
vs Crystal Palace,26,24.0,380,218,127,186,67,151,278,54.3,127,267,95,172,233,613,506,24,,,,,
vs Everton,24,23.0,453,285,218,174,61,205,401,51.1,196,230,60,170,134,587,474,15,,,,,
vs Fulham,25,24.0,336,201,157,132,47,157,352,44.6,195,274,92,182,226,562,610,11,,,,,
vs Ipswich Town,31,24.0,401,231,181,153,67,172,352,48.9,180,234,63,171,164,565,445,10,,,,,
vs Leicester City,28,24.0,432,267,159,190,83,217,402,54.0,185,231,64,167,180,612,490,18,,,,,
vs Liverpool,24,23.0,393,239,218,136,39,171,360,47.5,189,278,110,168,194,587,618,27,,,,,
vs Manchester City,26,24.0,412,243,250,119,43,169,391,43.2,222,303,108,195,193,605,587,23,,,,,
vs Manchester Utd,25,24.0,435,274,227,163,45,209,379,55.1,170,313,103,210,215,650,512,13,,,,,
vs Newcastle Utd,24,24.0,505,295,215,213,77,188,372,50.5,184,297,100,197,198,703,550,20,,,,,
vs Nott'ham Forest,23,24.0,359,222,159,133,67,151,336,44.9,185,237,78,159,183,542,515,25,,,,,
vs Southampton,33,24.0,434,261,163,195,76,205,392,52.3,187,232,77,155,208,642,451,5,,,,,
vs Tottenham,29,24.0,522,329,253,192,77,252,460,54.8,208,348,93,255,275,797,599,27,,,,,
vs West Ham,26,24.0,487,290,207,201,79,227,454,50.0,227,274,103,171,191,678,487,15,,,,,
vs Wolves,26,24.0,395,245,148,184,63,178,375,47.5,197,246,63,183,195,590,456,24,,,,,
