,Total,Short,Medium,Long,,Expected,,Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Arsenal,24,24.0,8169,10123,80.7,140675,46446,3876,4317,89.8,3434,3930,87.4,689,1424,48.4,16,14.6,14.7,+1.4,176,599,121,39,645,,,,,,,,
vs Aston Villa,25,24.0,9319,11161,83.5,158142,53449,4612,5018,91.9,3692,4180,88.3,806,1422,56.7,25,20.9,23.1,+4.1,196,748,170,41,836,,,,,,,,
vs Bournemouth,28,24.0,9351,11877,78.7,160579,63367,4489,5091,88.2,3821,4524,84.5,815,1642,49.6,21,23.7,24.4,-2.7,259,668,220,46,857,,,,,,,,
vs Brentford,27,24.0,9797,12123,80.8,166631,58515,4797,5320,90.2,3978,4599,86.5,833,1665,50.0,30,30.2,30.2,-0.2,345,871,302,57,1069,,,,,,,,
vs Brighton,30,24.0,8685,10870,79.9,154679,55606,3808,4273,89.1,3984,4499,88.6,747,1548,48.3,22,27.5,19.9,-5.5,211,636,154,28,766,,,,,,,,
vs Chelsea,27,23.0,7720,9695,79.6,133230,49272,3645,4098,88.9,3292,3758,87.6,634,1364,46.5,21,23.6,16.2,-2.6,182,557,154,32,705,,,,,,,,
vs Crystal Palace,26,24.0,10859,13386,81.1,191398,66111,4802,5467,87.8,4837,5506,87.8,990,1756,56.4,22,25.4,23.3,-3.4,246,851,185,41,983,,,,,,,,
vs Everton,24,23.0,11105,13347,83.2,188220,63479,5239,5797,90.4,4799,5410,88.7,830,1562,53.1,24,23.0,22.8,+1.0,225,817,220,56,1001,,,,,,,,
vs Fulham,25,24.0,9302,11439,81.3,157644,54756,4424,4908,90.1,3876,4452,87.1,744,1473,50.5,25,20.8,18.4,+4.2,184,709,163,33,864,,,,,,,,
vs Ipswich Town,31,24.0,11905,14156,84.1,202732,62460,5641,6191,91.1,5220,5830,89.5,854,1627,52.5,30,35.0,31.0,-5.0,271,931,231,49,1036,,,,,,,,
vs Leicester City,28,24.0,11007,13280,82.9,190225,63378,5186,5770,89.9,4752,5395,88.1,902,1539,58.6,39,35.2,32.4,+3.8,312,903,269,66,1133,,,,,,,,
vs Liverpool,24,23.0,7710,9754,79.0,133607,49652,3633,4101,88.6,3191,3726,85.6,694,1356,51.2,17,15.8,14.5,+1.2,162,484,129,34,673,,,,,,,,
vs Manchester City,26,24.0,8276,10009,82.7,142613,49916,3987,4363,91.4,3362,3762,89.4,738,1400,52.7,27,27.1,21.4,-0.1,196,546,157,45,587,,,,,,,,
vs Manchester Utd,25,24.0,9093,11272,80.7,151755,52620,4407,4958,88.9,3689,4255,86.7,714,1431,49.9,23,26.6,21.0,-3.6,199,655,144,32,733,,,,,,,,
vs Newcastle Utd,24,24.0,9144,11411,80.1,154432,53590,4542,5026,90.4,3631,4189,86.7,753,1576,47.8,27,23.5,22.2,+3.5,242,737,189,43,861,,,,,,,,
vs Nott'ham Forest,23,24.0,11126,13448,82.7,188616,62804,5160,5757,89.6,4959,5642,87.9,796,1481,53.7,21,19.8,21.8,+1.2,245,1008,248,51,1282,,,,,,,,
vs Southampton,33,24.0,9809,11785,83.2,165132,55805,4643,5154,90.1,4234,4750,89.1,712,1345,52.9,36,41.0,32.1,-5.0,325,768,259,49,959,,,,,,,,
vs Tottenham,29,24.0,7740,9908,78.1,137087,52458,3669,4171,88.0,3022,3537,85.4,836,1601,52.2,24,29.9,23.1,-5.9,229,628,208,64,784,,,,,,,,
vs West Ham,26,23.0,9743,11975,81.4,169809,58310,4527,5101,88.7,4178,4825,86.6,864,1562,55.3,34,32.5,28.1,+1.5,303,868,244,60,1007,,,,,,,,
vs Wolves,26,24.0,10126,12358,81.9,173152,60066,4810,5354,89.8,4371,5003,87.4,769,1446,53.2,36,28.9,24.8,+7.1,254,814,214,46,1006,,,,,,,,
