,Pass Types,Corner Kicks,Outcomes,Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Arsenal,24,24.0,10123,9130,967,309,27,58,341,329,70,40,16,1,8169,26,158,,,,
vs Aston Villa,25,24.0,11161,10178,923,307,38,60,420,295,106,76,16,2,9319,60,171,,,,
vs Bournemouth,28,24.0,11877,10577,1276,356,41,35,402,513,129,80,24,3,9351,24,243,,,,
vs Brentford,27,24.0,12123,11106,982,219,42,49,513,374,161,93,33,0,9797,35,207,,,,
vs Brighton,30,24.0,10870,9746,1058,297,44,55,344,387,119,87,14,2,8685,66,219,,,,
vs Chelsea,27,23.0,9695,8668,968,282,41,30,304,347,86,50,20,0,7720,59,187,,,,
vs Crystal Palace,26,24.0,13386,12265,1094,288,47,51,461,448,146,98,24,6,10859,27,267,,,,
vs Everton,24,23.0,13347,12236,1073,314,45,60,448,427,140,92,18,4,11105,38,181,,,,
vs Fulham,25,24.0,11439,10351,1027,272,48,59,382,396,106,77,15,2,9302,61,202,,,,
vs Ipswich Town,31,24.0,14156,13091,1035,298,57,67,455,418,152,89,24,1,11905,30,180,,,,
vs Leicester City,28,24.0,13280,12166,1076,288,41,84,496,438,152,92,26,0,11007,38,254,,,,
vs Liverpool,24,23.0,9754,8681,1016,278,33,57,303,351,93,51,14,2,7710,57,199,,,,
vs Manchester City,26,24.0,10009,9096,857,199,41,61,280,317,77,53,11,6,8276,56,165,,,,
vs Manchester Utd,25,24.0,11272,10246,993,300,40,47,343,387,100,68,18,0,9093,33,189,,,,
vs Newcastle Utd,24,24.0,11411,10327,1048,287,47,44,444,377,128,62,33,0,9144,36,234,,,,
vs Nott'ham Forest,23,24.0,13448,12335,1089,303,29,61,548,417,151,96,29,0,11126,24,215,,,,
vs Southampton,33,24.0,11785,10774,979,313,49,46,447,358,152,102,20,3,9809,32,186,,,,
vs Tottenham,29,24.0,9908,8791,1066,297,40,57,423,368,138,89,23,2,7740,51,220,,,,
vs West Ham,26,23.0,11975,10873,1075,306,59,53,475,431,134,64,28,3,9743,27,211,,,,
vs Wolves,26,24.0,12358,11177,1127,348,40,45,490,405,161,101,27,0,10126,54,239,,,,
