,Touches,Take-Ons,Carries,Receiving,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Arsenal,24,54.8,24.0,14804,1201,3919,6328,4667,799,14802,465,199,42.8,206,44.3,8571,44308,23063,492,296,175,292,252,10238,1069,,,,,
Aston Villa,25,50.3,24.0,13748,1610,4717,5927,3243,591,13745,457,204,44.6,190,41.6,7696,42749,22441,425,276,127,309,246,9196,805,,,,,
Bournemouth,28,46.2,24.0,13256,1434,3990,5632,3814,652,13249,439,188,42.8,197,44.9,7152,41489,22072,469,314,151,380,232,7663,950,,,,,
Brentford,27,47.9,24.0,13875,2201,5539,5097,3363,591,13871,395,162,41.0,183,46.3,7482,40484,20459,386,244,130,333,201,8604,870,,,,,
Brighton,30,53.5,24.0,15176,1688,4877,6634,3839,662,15175,534,224,41.9,262,49.1,8995,50461,27757,535,381,168,365,223,10142,1012,,,,,
Chelsea,27,58.1,24.0,16156,1481,4876,7318,4096,730,16153,513,216,42.1,223,43.5,9513,50524,27389,565,326,202,294,190,11519,989,,,,,
Crystal Palace,26,43.5,24.0,13129,1649,4864,5518,2882,495,13127,308,127,41.2,151,49.0,6618,33438,16100,322,226,85,299,229,7688,762,,,,,
Everton,24,40.4,23.0,11631,1472,4197,4693,2886,441,11630,435,196,45.1,205,47.1,5595,30593,14930,301,219,84,313,248,6764,617,,,,,
Fulham,25,52.8,24.0,15338,1635,5050,6369,4082,612,15334,423,195,46.1,157,37.1,9181,46889,24308,533,363,157,306,179,10400,980,,,,,
Ipswich Town,31,40.8,24.0,12306,1913,5012,4854,2568,390,12304,396,180,45.5,172,43.4,6256,34702,16533,320,223,98,359,229,7481,588,,,,,
Leicester City,28,46.0,24.0,14018,1820,5103,6396,2664,425,14016,450,185,41.1,217,48.2,7988,39687,19749,372,232,90,315,215,8920,696,,,,,
Liverpool,24,57.7,23.0,15826,1380,4255,7086,4621,820,15820,393,189,48.1,171,43.5,9229,47391,25248,517,343,207,313,222,11127,1169,,,,,
Manchester City,26,60.8,24.0,17684,1328,4075,7324,6420,904,17682,460,222,48.3,169,36.7,11266,64971,35415,735,549,263,277,243,13432,1232,,,,,
Manchester Utd,25,54.0,24.0,15846,1559,5445,6914,3631,605,15843,410,170,41.5,209,51.0,9794,48319,23739,411,287,153,306,226,10836,898,,,,,
Newcastle Utd,24,51.0,24.0,14671,1528,4941,6123,3749,671,14668,432,184,42.6,188,43.5,8729,46044,22909,465,291,169,298,317,9761,990,,,,,
Nott'ham Forest,23,40.0,24.0,11853,1554,4098,4634,3278,526,11850,403,185,45.9,151,37.5,5544,31730,17041,418,269,125,358,208,6619,682,,,,,
Southampton,33,51.6,24.0,15119,1964,5516,6507,3207,474,15117,451,187,41.5,205,45.5,8378,43901,22836,434,307,115,294,229,10466,757,,,,,
Tottenham,29,57.3,24.0,15986,1642,5101,6641,4408,700,15985,510,208,40.8,252,49.4,9913,54673,27864,574,386,174,330,270,10892,1111,,,,,
West Ham,26,46.5,24.0,13857,1850,5106,5855,3036,567,13854,517,228,44.1,227,43.9,6972,36105,18298,392,241,125,307,261,8658,764,,,,,
Wolves,26,46.5,24.0,13483,1729,4980,5878,2791,449,13482,439,197,44.9,178,40.5,7266,41217,21231,374,279,101,347,217,8457,733,,,,,
