,Standard,Expected,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Arsenal,24,24.0,22,245,79,32.2,10.21,3.29,0.08,0.25,18.5,9,2,2,21.2,19.6,0.08,+0.8,+0.4,,,
vs Aston Villa,25,24.0,37,282,97,34.4,11.75,4.04,0.13,0.37,16.8,5,1,2,29.8,28.2,0.10,+7.2,+7.8,,,
vs Bournemouth,28,24.0,28,333,119,35.7,13.87,4.96,0.08,0.22,17.0,7,2,2,31.2,29.6,0.09,-3.2,-3.6,,,
vs Brentford,27,24.0,40,441,145,32.9,18.37,6.04,0.09,0.27,17.2,7,1,1,39.4,38.6,0.09,+0.6,+0.4,,,
vs Brighton,30,24.0,36,267,90,33.7,11.12,3.75,0.11,0.33,15.4,4,6,6,36.3,31.6,0.12,-0.3,-1.6,,,
vs Chelsea,27,23.0,30,249,101,40.6,10.83,4.39,0.10,0.25,17.6,15,5,6,33.0,28.3,0.12,-3.0,-3.3,,,
vs Crystal Palace,26,24.0,28,312,92,29.5,13.00,3.83,0.09,0.29,16.3,6,1,2,32.4,30.8,0.10,-4.4,-3.8,,,
vs Everton,24,23.0,28,297,93,31.3,12.91,4.04,0.09,0.30,16.3,9,0,2,30.0,28.4,0.10,-2.0,-0.4,,,
vs Fulham,25,24.0,31,260,95,36.5,10.83,3.96,0.12,0.32,16.7,11,1,1,27.6,26.8,0.11,+3.4,+3.2,,,
vs Ipswich Town,31,24.0,49,356,128,36.0,14.83,5.33,0.12,0.34,16.5,10,5,5,47.9,44.0,0.13,+1.1,0.0,,,
vs Leicester City,28,24.0,51,405,138,34.1,16.88,5.75,0.12,0.36,15.7,13,1,1,46.6,45.8,0.12,+4.4,+4.2,,,
vs Liverpool,24,23.0,21,220,76,34.5,9.57,3.30,0.10,0.28,17.5,7,0,1,20.8,19.9,0.09,+0.2,+1.1,,,
vs Manchester City,26,24.0,34,239,92,38.5,9.96,3.83,0.13,0.34,15.5,2,3,3,34.1,31.8,0.14,-0.1,-0.8,,,
vs Manchester Utd,25,24.0,33,260,88,33.8,10.83,3.67,0.12,0.34,16.4,9,3,4,36.4,33.4,0.13,-3.4,-3.4,,,
vs Newcastle Utd,24,24.0,28,317,107,33.8,13.21,4.46,0.09,0.26,16.6,6,0,0,29.4,29.4,0.09,-1.4,-1.4,,,
vs Nott'ham Forest,23,24.0,27,317,100,31.5,13.21,4.17,0.08,0.26,17.5,8,1,1,26.7,25.9,0.08,+0.3,+0.1,,,
vs Southampton,33,24.0,54,432,153,35.4,18.00,6.37,0.12,0.33,16.2,10,4,4,55.9,52.9,0.13,-1.9,-2.9,,,
vs Tottenham,29,24.0,35,305,101,33.1,12.71,4.21,0.11,0.33,15.2,3,2,2,40.5,38.9,0.13,-5.5,-5.9,,,
vs West Ham,26,23.0,42,375,122,32.5,16.30,5.30,0.10,0.32,16.8,10,3,3,39.9,37.6,0.10,+2.1,+1.4,,,
vs Wolves,26,24.0,49,326,112,34.4,13.58,4.67,0.13,0.39,16.5,12,5,6,39.4,34.7,0.11,+9.6,+9.3,,,
